ItemId,Serial No.,Item Code,Item Name,Description,SRP,Size,Tonality,PhysicalCount,Broken
1607,212210301,I-ME6901,IAI023,15x60 Ceramic Tile (Inkjet),1,15x60,17031A,4994,
1608,212210303,I-ME6901,IAI023,15x60 Ceramic Tile (Inkjet),1,15x60,17031B,4994,
1609,212210380,I-ME6901,IAI023,15x60 Ceramic Tile (Inkjet),1,15x60,17111A,4994,
1610,221580182,I-QF3606,IQF3605 (S36817),30x60 Ceramic Tile (Inkjet) (8/box),1,30x60,15061A,0,
1611,221580199,I-QF3606,IQF3605 (S36817),30x60 Ceramic Tile (Inkjet) (8/box),1,30x60,15111B,0,
1612,221580280,I-QF3606,IQF3605 (S36817),30x60 Ceramic Tile (Inkjet) (8/box),1,30x60,17011A,0,
1613,221580311,I-QF3606,IQF3605 (S36817),30x60 Ceramic Tile (Inkjet) (8/box),1,30x60,17041A,0,
1614,221580351,I-QF3606,IQF3605 (S36817),30x60 Ceramic Tile (Inkjet) (8/box),1,30x60,17081A,0,
1615,212230002,I01,HX001,30x30 Resin Mosaic,1,30x30,2,36,
1616,212230005,I01,HX001,30x30 Resin Mosaic,1,30x30,5,36,
1617,212230499,I01,HX001,30x30 Resin Mosaic,1,30x30,6,36,
1618,212240005,I02,HX001,30x30 Resin Mosaic,1,30x30,5,12,
1619,212240007,I02,HX001,30x30 Resin Mosaic,1,30x30,7,12,
1620,212290120,IAI018,IAI018,15x60 Ceramic Tile (Inkjet),1,15x60,1708,0,
1621,212290200,IAI018,IAI018,15x60 Ceramic Tile (Inkjet),1,15x60,1512 SI(600),0,
1622,212290476,IAI018,IAI018,15x60 Ceramic Tile (Inkjet),1,15x60,201506 SI,0,
1623,212290478,IAI018,IAI018,15x60 Ceramic Tile (Inkjet),1,15x60,201510A (600),0,
1624,212300300,IAI020,IAI020,15x60 Ceramic Tile (Inkjet),1,15x60,1703 A(600),19967,
1625,212310352,IAI021,IAI021,15x60 Ceramic Tile (Inkjet),1,15x60,1708A,5377,
1626,212310376,IAI021,IAI021,15x60 Ceramic Tile (Inkjet),1,15x60,1710B,5377,
1627,212310377,IAI021,IAI021,15x60 Ceramic Tile (Inkjet),1,15x60,1710B (600),5377,
1628,212320270,IAI022,IAI022,15x60 Ceramic Tile (Inkjet),1,15x60,1612A,24208,
1629,212320326,IAI022,IAI022,15x60 Ceramic Tile (Inkjet),1,15x60,1705A,24208,
1630,212330122,IAI023,IAI023,15x60 Ceramic Tile (Inkjet),1,15x60,1710,17862,
1631,212330270,IAI023,IAI023,15x60 Ceramic Tile (Inkjet),1,15x60,1612A,17862,
1632,212330372,IAI023,IAI023,15x60 Ceramic Tile (Inkjet),1,15x60,1710A,17862,
1633,212330374,IAI023,IAI023,15x60 Ceramic Tile (Inkjet),1,15x60,1710A (600),17862,
1634,221590111,IAI403,IAI023,15x60 Ceramic Tile (Inkjet),1,15x60,1508,38511,
1635,221600311,IQF3601,IAI023,15x60 Ceramic Tile (Inkjet),1,15x60,17041A,0,
1636,212340182,IQF3604,IAI023,15x60 Ceramic Tile (Inkjet),1,15x60,15061A,0,
1646,212830175,KDY293,KDY205 White Gres,20x20 Unpolished Ceramic Rough (25/box),1,20x20,10B,27565,
1647,212830176,KDY293,KDY205 White Gres,20x20 Unpolished Ceramic Rough (25/box),1,20x20,10C,27565,
1648,212830522,KDY293,KDY205 White Gres,20x20 Unpolished Ceramic Rough (25/box),1,20x20,96,27565,
1649,212830821,KDY293,KDY205 White Gres,20x20 Unpolished Ceramic Rough (25/box),1,20x20,J019A,27565,
1650,212830836,KDY293,KDY205 White Gres,20x20 Unpolished Ceramic Rough (25/box),1,20x20,JC16A,27565,
1651,212830837,KDY293,KDY205 White Gres,20x20 Unpolished Ceramic Rough (25/box),1,20x20,JC19A,27565,
1652,212831075,KDY293,KDY205 White Gres,20x20 Unpolished Ceramic Rough (25/box),1,20x20,YELLOW STRAP,27565,
1653,212840828,KDY295,KDY293 Beige Gres,20x20 Unpolished Ceramic Rough (25/box),1,20x20,J901A,17285,
1654,212840829,KDY295,KDY293 Beige Gres,20x20 Unpolished Ceramic Rough (25/box),1,20x20,JB01A,17285,
1655,212840832,KDY295,KDY293 Beige Gres,20x20 Unpolished Ceramic Rough (25/box),1,20x20,JB11A,17285,
1656,212840841,KDY295,KDY293 Beige Gres,20x20 Unpolished Ceramic Rough (25/box),1,20x20,JJB01A,17285,
1657,212860627,KY1,KM3000,20x30 Ceramic Tile,1,20x30,CA02,10114,
1658,212860634,KY1,KM3000,20x30 Ceramic Tile,1,20x30,CE01,10114,
1659,212860637,KY1,KM3000,20x30 Ceramic Tile,1,20x30,CEA2,10114,
1660,221610863,KY12,KY1 (2-8D60590),30x60 Ceramic Tile,1,30x60,ME04,17756,
1661,221620859,KY13,KY1 (2-8D60590),30x60 Ceramic Tile,1,30x60,MB01,17756,
1662,221620869,KY13,KY1 (2-8D60590),30x60 Ceramic Tile,1,30x60,ME15,17756,
1663,221630867,KY14,KY1 (2-8D60590),30x60 Ceramic Tile,1,30x60,ME11,17756,
1664,212870631,KY15,KY1 (2-8D60590),30x60 Ceramic Tile,1,30x60,CD03,17756,
1665,212870633,KY15,KY1 (2-8D60590),30x60 Ceramic Tile,1,30x60,CD11,17756,
1666,212880630,KY16,KY15 (VP-2E60760),30x60 Ceramic Tile,1,30x60,CD02,15085,
1667,212880631,KY16,KY15 (VP-2E60760),30x60 Ceramic Tile,1,30x60,CD03,15085,
1668,212880632,KY16,KY15 (VP-2E60760),30x60 Ceramic Tile,1,30x60,CD06,15085,
1669,212890008,KY2,KY16 (VP-2E60759-K1D),30x60 Ceramic Tile,1,30x60,8,675,
1670,212890634,KY2,KY16 (VP-2E60759-K1D),30x60 Ceramic Tile,1,30x60,CE01,675,
1671,212890637,KY2,KY16 (VP-2E60759-K1D),30x60 Ceramic Tile,1,30x60,CEA2,675,
1672,212900634,KY3,KY2 (3-8E60591),30x60 Ceramic Tile,1,30x60,CE01,20285,
1673,212900636,KY3,KY2 (3-8E60591),30x60 Ceramic Tile,1,30x60,CEA1,20285,
1674,212900869,KY3,KY2 (3-8E60591),30x60 Ceramic Tile,1,30x60,ME15,20285,
1675,212910634,KY4,KY3 (3-8E60592),30x60 Ceramic Tile,1,30x60,CE01,21435,
1676,212910636,KY4,KY3 (3-8E60592),30x60 Ceramic Tile,1,30x60,CEA1,21435,
1677,212920634,KY5,KY4 (3-8E60593),30x60 Ceramic Tile,1,30x60,CE01,20740,
1678,212920635,KY5,KY4 (3-8E60593),30x60 Ceramic Tile,1,30x60,CE02,20740,
1679,212920636,KY5,KY4 (3-8E60593),30x60 Ceramic Tile,1,30x60,CEA1,20740,
1680,212920869,KY5,KY4 (3-8E60593),30x60 Ceramic Tile,1,30x60,ME15,20740,
1681,212930634,KY6,KY5 (2-8E60595),30x60 Ceramic Tile,1,30x60,CE01,21001,
1682,212930635,KY6,KY5 (2-8E60595),30x60 Ceramic Tile,1,30x60,CE02,21001,
1683,212930636,KY6,KY5 (2-8E60595),30x60 Ceramic Tile,1,30x60,CEA1,21001,
1684,212940860,KY7,KY6 (3-8E60596),30x60 Ceramic Tile,1,30x60,ME01,19401,
1685,212940861,KY7,KY6 (3-8E60596),30x60 Ceramic Tile,1,30x60,ME02,19401,
1686,212940865,KY7,KY6 (3-8E60596),30x60 Ceramic Tile,1,30x60,ME07,19401,
1687,212950851,KY8,KY7 (3-6E60609),30x60 Ceramic Tile,1,30x60,KY8,12033,
1688,212950859,KY8,KY7 (3-6E60609),30x60 Ceramic Tile,1,30x60,MB01,12033,
1689,212950860,KY8,KY7 (3-6E60609),30x60 Ceramic Tile,1,30x60,ME01,12033,
1690,212950863,KY8,KY7 (3-6E60609),30x60 Ceramic Tile,1,30x60,ME04,12033,
1691,212980531,L21,L21,20x20 Ceramic Tile (25/Box),1,20x20,A1,0,
1692,212980546,L21,L21,20x20 Ceramic Tile (25/Box),1,20x20,A2,0,
1693,212980568,L21,L21,20x20 Ceramic Tile (25/Box),1,20x20,A3,0,
1694,213130531,L31,L31,30x30 Ceramic Tile (12/box),1,30x30,A1,3,
1695,213130546,L31,L31,30x30 Ceramic Tile (12/box),1,30x30,A2,3,
1696,213130568,L31,L31,30x30 Ceramic Tile (12/box),1,30x30,A3,3,
1697,213130585,L31,L31,30x30 Ceramic Tile (12/box),1,30x30,A4,3,
1698,213130594,L31,L31,30x30 Ceramic Tile (12/box),1,30x30,A5,3,
1699,213130604,L31,L31,30x30 Ceramic Tile (12/box),1,30x30,A6,3,
1700,213130607,L31,L31,30x30 Ceramic Tile (12/box),1,30x30,A7,3,
1701,213131075,L31,L31,30x30 Ceramic Tile (12/box),1,30x30,YELLOW STRAP,3,
1702,213140531,L32,L32,30x30 Ceramic Tile (12/box),1,30x30,A1,24783,
1703,213140546,L32,L32,30x30 Ceramic Tile (12/box),1,30x30,A2,24783,
1704,213140585,L32,L32,30x30 Ceramic Tile (12/box),1,30x30,A4,24783,
1705,213140594,L32,L32,30x30 Ceramic Tile (12/box),1,30x30,A5,24783,
1706,213140607,L32,L32,30x30 Ceramic Tile (12/box),1,30x30,A7,24783,
1707,213150531,L33,L33,30x30 Ceramic Tile (12/box),1,30x30,A1,9007,
1708,213150535,L33,L33,30x30 Ceramic Tile (12/box),1,30x30,A10,9007,
1709,213150568,L33,L33,30x30 Ceramic Tile (12/box),1,30x30,A3,9007,
1710,213150604,L33,L33,30x30 Ceramic Tile (12/box),1,30x30,A6,9007,
1711,213150607,L33,L33,30x30 Ceramic Tile (12/box),1,30x30,A7,9007,
1712,213150609,L33,L33,30x30 Ceramic Tile (12/box),1,30x30,A8,9007,
1713,213150616,L33,L33,30x30 Ceramic Tile (12/box),1,30x30,A9,9007,
1714,213160531,L34,L34,30x30 Ceramic Tile (12/box),1,30x30,A1,100996,
1715,213160624,L34,L34,30x30 Ceramic Tile (12/box),1,30x30,BLUE STRAP,100996,
1716,213160721,L34,L34,30x30 Ceramic Tile (12/box),1,30x30,GREEN STRAP,100996,
1717,213170531,L35,L35,30x30 Ceramic Tile (12/box),1,30x30,A1,118400,
1718,213170568,L35,L35,30x30 Ceramic Tile (12/box),1,30x30,A3,118400,
1719,213171075,L35,L35,30x30 Ceramic Tile (12/box),1,30x30,YELLOW STRAP,118400,
1720,213180531,L36,L36,30x30 Ceramic Tile (12/box),1,30x30,A1,127520,
1721,213180546,L36,L36,30x30 Ceramic Tile (12/box),1,30x30,A2,127520,
1722,213180568,L36,L36,30x30 Ceramic Tile (12/box),1,30x30,A3,127520,
1723,213180624,L36,L36,30x30 Ceramic Tile (12/box),1,30x30,BLUE STRAP,127520,
1724,213181035,L36,L36,30x30 Ceramic Tile (12/box),1,30x30,WHITE STRAP,127520,
1725,213190546,L37,L37,30x30 Ceramic Tile (12/box),1,30x30,A2,105942,
1726,213190568,L37,L37,30x30 Ceramic Tile (12/box),1,30x30,A3,105942,
1727,213190585,L37,L37,30x30 Ceramic Tile (12/box),1,30x30,A4,105942,
1728,213190594,L37,L37,30x30 Ceramic Tile (12/box),1,30x30,A5,105942,
1729,213191075,L37,L37,30x30 Ceramic Tile (12/box),1,30x30,YELLOW STRAP,105942,
1730,213200531,L38,L38,30x30 Ceramic Tile (12/box),1,30x30,A1,128203,
1731,213200546,L38,L38,30x30 Ceramic Tile (12/box),1,30x30,A2,128203,
