ItemId,Serial No.,Item Code,Item Name,Description,SRP,Size,Tonality,PhysicalCount,Broken
1,220110015,01 / M302,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,15,0,0
2,220110016,01 / M302,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,16,0,0
3,220110017,01 / M302,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,17,0,0
4,220110018,01 / M302,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,18,0,0
5,220110019,01 / M302,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,19,0,0
6,201860004,01-0,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,4,0,0
7,201860005,01-0,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,5,0,0
8,220120010,1-23F,1206/ New Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,10,0,0
9,200140004,1106,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,4,0,0
10,200140029,1106,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,29,0,0
11,200140030,1106,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,30,0,0
12,200140033,1106,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,34,0,0
13,200140034,1106,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,35,0,0
14,200140035,1106,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,36,0,0
15,220130021,1206,1206/ New Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,21,0,0
16,202030002,12GAB1,1206/ New Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,2,0,0
17,202030003,12GAB1,1206/ New Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,3,0,0
18,202030008,12GAB1,1206/ New Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,8,0,0
19,202030918,12GAB1,1206/ New Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,R1,0,0
20,202040001,12GAW1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,1,84,0
21,202040011,12GAW1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,11,84,0
22,202040822,12GAW1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,J1,84,0
23,202040918,12GAW1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,R1,84,0
24,202040936,12GAW1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,R3,84,0
25,202050003,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,3,84,0
26,202050004,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,4,84,0
27,202050005,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,5,84,0
28,202050006,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,6,84,0
29,202050015,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,15,84,0
30,202050016,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,16,84,0
31,202050723,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,H1,84,0
32,202050918,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,R1,84,0
33,202060001,12GCL3,12GBC1 Backsplash Gray,10x20 Glazed Ceramic (60/box),1,10x20,1,84,0
34,202060002,12GCL3,12GBC1 Backsplash Gray,10x20 Glazed Ceramic (60/box),1,10x20,2,84,0
35,202060003,12GCL3,12GBC1 Backsplash Gray,10x20 Glazed Ceramic (60/box),1,10x20,3,84,0
